condition_id,candidate_mode,selection,distance_from_flanker_edge_deg,log_sensitivity_ratio
P01_L010,1,row_linked_max_fms,0.07600000000000001,-0.05189104217890295
P01_L010,1,row_linked_max_fms,0.07799598997493734,-0.047998129779477094
P01_L010,1,row_linked_max_fms,0.07999197994987473,-0.04405841846995644
P01_L010,1,row_linked_max_fms,0.08198796992481205,-0.040075829784881216
P01_L010,1,row_linked_max_fms,0.08398395989974938,-0.036054326967628704
P01_L010,1,row_linked_max_fms,0.08597994987468671,-0.031997911026631916
P01_L010,1,row_linked_max_fms,0.0879759398496241,-0.027910616754969406
P01_L010,1,row_linked_max_fms,0.08997192982456143,-0.02379650871728642
P01_L010,1,row_linked_max_fms,0.09196791979949875,-0.019659677208037747
P01_L010,1,row_linked_max_fms,0.09396390977443608,-0.015504234185073108
P01_L010,1,row_linked_max_fms,0.09595989974937347,-0.011334309182605204
P01_L010,1,row_linked_max_fms,0.0979558897243108,-0.0071540452076247684
P01_L010,1,row_linked_max_fms,0.09995187969924813,-0.002967594623837683
P01_L010,1,row_linked_max_fms,0.10194786967418545,0.001220884972784083
P01_L010,1,row_linked_max_fms,0.10394385964912284,0.005407234882743249
P01_L010,1,row_linked_max_fms,0.10593984962406017,0.009587299431948281
P01_L010,1,row_linked_max_fms,0.1079358395989975,0.013756930096737492
P01_L010,1,row_linked_max_fms,0.10993182957393483,0.017911989620899453
P01_L010,1,row_linked_max_fms,0.11192781954887221,0.022048356120606037
P01_L010,1,row_linked_max_fms,0.11392380952380954,0.026161927173183587
P01_L010,1,row_linked_max_fms,0.11591979949874687,0.030248623885669748
P01_L010,1,row_linked_max_fms,0.1179157894736842,0.034304394939116786
P01_L010,1,row_linked_max_fms,0.11991177944862158,0.03832522060463514
P01_L010,1,row_linked_max_fms,0.12190776942355891,0.04230711672719426
P01_L010,1,row_linked_max_fms,0.12390375939849624,0.04624613867323454
P01_L010,1,row_linked_max_fms,0.12589974937343362,0.05013838523817726
P01_L010,1,row_linked_max_fms,0.12789573934837095,0.05398000250996274
P01_L010,1,row_linked_max_fms,0.12989172932330828,0.05776718768479197
P01_L010,1,row_linked_max_fms,0.1318877192982456,0.0614961928312916
P01_L010,1,row_linked_max_fms,0.13388370927318294,0.06516332859937841
P01_L010,1,row_linked_max_fms,0.13587969924812032,0.06876496787015281
P01_L010,1,row_linked_max_fms,0.13787568922305765,0.07229754934320953
P01_L010,1,row_linked_max_fms,0.13987167919799498,0.07575758105782095
P01_L010,1,row_linked_max_fms,0.14186766917293236,0.07914164384450768
P01_L010,1,row_linked_max_fms,0.1438636591478697,0.08244639470358775
P01_L010,1,row_linked_max_fms,0.14585964912280702,0.08566857010736587
P01_L010,1,row_linked_max_fms,0.14785563909774435,0.08880498922270001
P01_L010,1,row_linked_max_fms,0.14985162907268168,0.09185255705076482
P01_L010,1,row_linked_max_fms,0.15184761904761906,0.09480826748091178
P01_L010,1,row_linked_max_fms,0.1538436090225564,0.09766920625561362
P01_L010,1,row_linked_max_fms,0.15583959899749372,0.1004325538435694
P01_L010,1,row_linked_max_fms,0.1578355889724311,0.10309558821813689
P01_L010,1,row_linked_max_fms,0.15983157894736844,0.10565568753835496
P01_L010,1,row_linked_max_fms,0.16182756892230576,0.10811033272991723
P01_L010,1,row_linked_max_fms,0.1638235588972431,0.11045710996355367
P01_L010,1,row_linked_max_fms,0.16581954887218042,0.11269371302838435
P01_L010,1,row_linked_max_fms,0.1678155388471178,0.11481794559791157
P01_L010,1,row_linked_max_fms,0.16981152882205514,0.11682772338642362
P01_L010,1,row_linked_max_fms,0.17180751879699252,0.11872107619369456
P01_L010,1,row_linked_max_fms,0.17380350877192985,0.12049614983597286
P01_L010,1,row_linked_max_fms,0.17579949874686718,0.12215120796136869
P01_L010,1,row_linked_max_fms,0.1777954887218045,0.12368463374786133
P01_L010,1,row_linked_max_fms,0.17979147869674184,0.12509493148226733
P01_L010,1,row_linked_max_fms,0.18178746867167922,0.12638072801862793
P01_L010,1,row_linked_max_fms,0.18378345864661655,0.1275407741145941
P01_L010,1,row_linked_max_fms,0.18577944862155388,0.1285739456445098
P01_L010,1,row_linked_max_fms,0.18777543859649126,0.12947924468801483
P01_L010,1,row_linked_max_fms,0.1897714285714286,0.13025580049311516
P01_L010,1,row_linked_max_fms,0.19176741854636592,0.13090287031279138
P01_L010,1,row_linked_max_fms,0.19376340852130325,0.13141984011434282
P01_L010,1,row_linked_max_fms,0.19575939849624058,0.13180622516079046
P01_L010,1,row_linked_max_fms,0.19775538847117796,0.13206167046378975
P01_L010,1,row_linked_max_fms,0.1997513784461153,0.13218595110763232
P01_L010,1,row_linked_max_fms,0.20174736842105262,0.13217897244404195
P01_L010,1,row_linked_max_fms,0.20374335839599,0.13204077015760132
P01_L010,1,row_linked_max_fms,0.20573934837092733,0.13177151020177127
P01_L010,1,row_linked_max_fms,0.20773533834586466,0.13137148860559583
P01_L010,1,row_linked_max_fms,0.209731328320802,0.13084113115131227
P01_L010,1,row_linked_max_fms,0.21172731829573932,0.13018099292321494
P01_L010,1,row_linked_max_fms,0.2137233082706767,0.12939175772824935
P01_L010,1,row_linked_max_fms,0.21571929824561403,0.12847423738893893
P01_L010,1,row_linked_max_fms,0.21771528822055142,0.12742937090937498
P01_L010,1,row_linked_max_fms,0.21971127819548875,0.12625822351512597
P01_L010,1,row_linked_max_fms,0.22170726817042608,0.12496198556804582
P01_L010,1,row_linked_max_fms,0.2237032581453634,0.1235419713570872
P01_L010,1,row_linked_max_fms,0.22569924812030073,0.12199961776634664
P01_L010,1,row_linked_max_fms,0.22769523809523806,0.12033648282169115
P01_L010,1,row_linked_max_fms,0.22969122807017545,0.11855424411743537
P01_L010,1,row_linked_max_fms,0.23168721804511277,0.11665469712465827
P01_L010,1,row_linked_max_fms,0.23368320802005016,0.1146397533828635
P01_L010,1,row_linked_max_fms,0.2356791979949875,0.11251143857680605
P01_L010,1,row_linked_max_fms,0.23767518796992482,0.11027189050041777
P01_L010,1,row_linked_max_fms,0.23967117794486215,0.10792335690987946
P01_L010,1,row_linked_max_fms,0.24166716791979947,0.10546819326799405
P01_L010,1,row_linked_max_fms,0.2436631578947368,0.10290886038212492
P01_L010,1,row_linked_max_fms,0.2456591478696742,0.10024792193806702
P01_L010,1,row_linked_max_fms,0.24765513784461152,0.0974880419323227
P01_L010,1,row_linked_max_fms,0.2496511278195489,0.09463198200535222
P01_L010,1,row_linked_max_fms,0.25164711779448623,0.09168259867847091
P01_L010,1,row_linked_max_fms,0.25364310776942356,0.08864284049715311
P01_L010,1,row_linked_max_fms,0.2556390977443609,0.08551574508360404
P01_L010,1,row_linked_max_fms,0.2576350877192982,0.08230443610154224
P01_L010,1,row_linked_max_fms,0.25963107769423555,0.07901212013622665
P01_L010,1,row_linked_max_fms,0.26162706766917293,0.07564208349284413
P01_L010,1,row_linked_max_fms,0.26362305764411026,0.07219768891645333
P01_L010,1,row_linked_max_fms,0.26561904761904764,0.06868237223676012
P01_L010,1,row_linked_max_fms,0.267615037593985,0.06509963894106864
P01_L010,1,row_linked_max_fms,0.2696110275689223,0.06145306067883023
P01_L010,1,row_linked_max_fms,0.27160701754385963,0.05774627170127254
P01_L010,1,row_linked_max_fms,0.27360300751879696,0.053982965239658676
P01_L010,1,row_linked_max_fms,0.27559899749373434,0.050166889825785314
P01_L010,1,row_linked_max_fms,0.2775949874686717,0.04630184555838632
P01_L010,1,row_linked_max_fms,0.27959097744360906,0.04239168031915751
P01_L010,1,row_linked_max_fms,0.2815869674185464,0.03844028594217431
P01_L010,1,row_linked_max_fms,0.2835829573934837,0.034451594340512405
P01_L010,1,row_linked_max_fms,0.28557894736842104,0.030429573593927353
P01_L010,1,row_linked_max_fms,0.28757493734335837,0.026378224001485324
P01_L010,1,row_linked_max_fms,0.2895709273182957,0.02230157410307311
P01_L010,1,row_linked_max_fms,0.2915669172932331,0.018203676673740305
P01_L010,1,row_linked_max_fms,0.2935629072681704,0.014088604694861052
P01_L010,1,row_linked_max_fms,0.2955588972431078,0.009960447306116622
P01_L010,1,row_linked_max_fms,0.2975548872180451,0.00582330574232446
P01_L010,1,row_linked_max_fms,0.29955087719298246,0.001681289259147174
P01_L010,1,row_linked_max_fms,0.3015468671679198,-0.0024614889482664276
P01_L010,1,row_linked_max_fms,0.3035428571428571,-0.006600915829658425
P01_L010,1,row_linked_max_fms,0.30553884711779444,-0.01073288256300004
P01_L010,1,row_linked_max_fms,0.3075348370927318,-0.014853288632737539
P01_L010,1,row_linked_max_fms,0.30953082706766916,-0.01895804589889835
P01_L010,1,row_linked_max_fms,0.31152681704260654,-0.023043082653018316
P01_L010,1,row_linked_max_fms,0.31352280701754387,-0.027104347656869806
P01_L010,1,row_linked_max_fms,0.3155187969924812,-0.031137814159980095
P01_L010,1,row_linked_max_fms,0.3175147869674185,-0.03513948389195974
P01_L010,1,row_linked_max_fms,0.31951077694235586,-0.039105391025681495
P01_L010,1,row_linked_max_fms,0.3215067669172932,-0.04303160610738191
P01_L010,1,row_linked_max_fms,0.32350275689223057,-0.04691423994979111
P01_L010,1,row_linked_max_fms,0.3254987468671679,-0.050749447484432796
P01_L010,1,row_linked_max_fms,0.3274947368421052,-0.05453343156928192
P01_L010,1,row_linked_max_fms,0.3294907268170426,-0.05826244674800545
P01_L010,1,row_linked_max_fms,0.33148671679197994,-0.06193280295706804
P01_L010,1,row_linked_max_fms,0.33348270676691727,-0.06554086917703207
P01_L010,1,row_linked_max_fms,0.33547869674185465,-0.06908307702443929
P01_L010,1,row_linked_max_fms,0.337474686716792,-0.0725559242807231
P01_L010,1,row_linked_max_fms,0.3394706766917293,-0.07595597835465852
P01_L010,1,row_linked_max_fms,0.34146666666666664,-0.07927987967492954
P01_L010,1,row_linked_max_fms,0.343462656641604,-0.0825243450094605
P01_L010,1,row_linked_max_fms,0.34545864661654135,-0.0856861707082306
P01_L010,1,row_linked_max_fms,0.3474546365914787,-0.0887622358663724
P01_L010,1,row_linked_max_fms,0.349450626566416,-0.09174950540442721
P01_L010,1,row_linked_max_fms,0.3514466165413534,-0.09464503306272055
P01_L010,1,row_linked_max_fms,0.3534426065162907,-0.09744596430690278
P01_L010,1,row_linked_max_fms,0.35543859649122805,-0.10014953914178931
P01_L010,1,row_linked_max_fms,0.3574345864661654,-0.10275309483072799
P01_L010,1,row_linked_max_fms,0.35943057644110277,-0.10525406851781312
P01_L010,1,row_linked_max_fms,0.3614265664160401,-0.10764999975036649
P01_L010,1,row_linked_max_fms,0.3634225563909774,-0.10993853289919985
P01_L010,1,row_linked_max_fms,0.36541854636591475,-0.11211741947428122
P01_L010,1,row_linked_max_fms,0.36741453634085214,-0.11418452033352754
P01_L010,1,row_linked_max_fms,0.36941052631578947,-0.11613780778255389
P01_L010,1,row_linked_max_fms,0.3714065162907268,-0.11797536756332075
P01_L010,1,row_linked_max_fms,0.3734025062656641,-0.11969540072972615
P01_L010,1,row_linked_max_fms,0.3753984962406015,-0.12129622540830814
P01_L010,1,row_linked_max_fms,0.37739448621553884,-0.12277627844233327
P01_L010,1,row_linked_max_fms,0.37939047619047617,-0.12413411691766502
P01_L010,1,row_linked_max_fms,0.3813864661654135,-0.12536841956892267
P01_L010,1,row_linked_max_fms,0.3833824561403509,-0.12647798806456187
P01_L010,1,row_linked_max_fms,0.3853784461152882,-0.12746174816962616
P01_L010,1,row_linked_max_fms,0.38737443609022554,-0.12831875078504337
P01_L010,1,row_linked_max_fms,0.38937042606516287,-0.1290481728624608
P01_L010,1,row_linked_max_fms,0.39136641604010025,-0.12964931819373943
P01_L010,1,row_linked_max_fms,0.3933624060150376,-0.13012161807434972
P01_L010,1,row_linked_max_fms,0.3953583959899749,-0.130464631840039
P01_L010,1,row_linked_max_fms,0.3973543859649123,-0.13067804727626484
P01_L010,1,row_linked_max_fms,0.3993503759398496,-0.1307616809000156
P01_L010,1,row_linked_max_fms,0.40134636591478695,-0.13071547811376727
P01_L010,1,row_linked_max_fms,0.4033423558897243,-0.13053951323145035
P01_L010,1,row_linked_max_fms,0.40533834586466166,-0.13023398937643074
P01_L010,1,row_linked_max_fms,0.407334335839599,-0.12979923825163212
P01_L010,1,row_linked_max_fms,0.4093303258145363,-0.1292357197820578
P01_L010,1,row_linked_max_fms,0.41132631578947365,-0.12854402163009357
P01_L010,1,row_linked_max_fms,0.41332230576441104,-0.12772485858410118
P01_L010,1,row_linked_max_fms,0.41531829573934836,-0.1267790718209375
P01_L010,1,row_linked_max_fms,0.4173142857142857,-0.12570762804315827
P01_L010,1,row_linked_max_fms,0.419310275689223,-0.12451161849179124
P01_L010,1,row_linked_max_fms,0.4213062656641604,-0.12319225783568596
P01_L010,1,row_linked_max_fms,0.42330225563909774,-0.12175088293856952
P01_L010,1,row_linked_max_fms,0.42529824561403506,-0.12018895150505932
P01_L010,1,row_linked_max_fms,0.4272942355889724,-0.11850804060700354
P01_L010,1,row_linked_max_fms,0.4292902255639098,-0.11670984509163912
P01_L010,1,row_linked_max_fms,0.4312862155388471,-0.11479617587317197
P01_L010,1,row_linked_max_fms,0.43328220551378444,-0.11276895810950285
P01_L010,1,row_linked_max_fms,0.43527819548872176,-0.11063022926593331
P01_L010,1,row_linked_max_fms,0.43727418546365915,-0.10838213706779837
P01_L010,1,row_linked_max_fms,0.4392701754385965,-0.10602693734408426
P01_L010,1,row_linked_max_fms,0.4412661654135338,-0.10356699176419375
P01_L010,1,row_linked_max_fms,0.44326215538847114,-0.10100476547013183
P01_L010,1,row_linked_max_fms,0.4452581453634085,-0.09834282460648357
P01_L010,1,row_linked_max_fms,0.44725413533834585,-0.09558383375065947
P01_L010,1,row_linked_max_fms,0.4492501253132832,-0.09273055324598155
P01_L010,1,row_linked_max_fms,0.4512461152882205,-0.0897858364402782
P01_L010,1,row_linked_max_fms,0.4532421052631579,-0.08675262683275195
P01_L010,1,row_linked_max_fms,0.4552380952380952,-0.08363395513196943
P01_L010,1,row_linked_max_fms,0.45723408521303255,-0.08043293622791774
P01_L010,1,row_linked_max_fms,0.45923007518796993,-0.07715276608114907
P01_L010,1,row_linked_max_fms,0.46122606516290726,-0.07379671853212237
P01_L010,1,row_linked_max_fms,0.4632220551378446,-0.07036814203392444
P01_L010,1,row_linked_max_fms,0.4652180451127819,-0.06687045631163423
P01_L010,1,row_linked_max_fms,0.4672140350877193,-0.0633071489516605
P01_L010,1,row_linked_max_fms,0.46921002506265663,-0.05968177192445529
P01_L010,1,row_linked_max_fms,0.47120601503759396,-0.055997938044069676
P01_L010,1,row_linked_max_fms,0.4732020050125313,-0.05225931736808042
P01_L010,1,row_linked_max_fms,0.4751979949874687,-0.04846963354147591
P01_L010,1,row_linked_max_fms,0.477193984962406,-0.044632660088140395
P01_L010,1,row_linked_max_fms,0.47918997493734333,-0.04075221665363364
P01_L010,1,row_linked_max_fms,0.48118596491228066,-0.036832165203003864
P01_L010,1,row_linked_max_fms,0.48318195488721805,-0.03287640617741966
P01_L010,1,row_linked_max_fms,0.4851779448621554,-0.028888874613446337
P01_L010,1,row_linked_max_fms,0.4871739348370927,-0.02487353622882472
P01_L010,1,row_linked_max_fms,0.48916992481203003,-0.020834383478649743
P01_L010,1,row_linked_max_fms,0.4911659147869674,-0.016775431585867577
P01_L010,1,row_linked_max_fms,0.49316190476190475,-0.01270071455003909
P01_L010,1,row_linked_max_fms,0.4951578947368421,-0.008614281138336654
P01_L010,1,row_linked_max_fms,0.4971538847117794,-0.0045201908627577605
P01_L010,1,row_linked_max_fms,0.4991498746867168,-0.0004225099475539967
P01_L010,1,row_linked_max_fms,0.5011458646616541,0.0036746927091226836
P01_L010,1,row_linked_max_fms,0.5031418546365914,0.007767349575341314
P01_L010,1,row_linked_max_fms,0.5051378446115288,0.011851398523272917
P01_L010,1,row_linked_max_fms,0.5071338345864662,0.015922786860821825
P01_L010,1,row_linked_max_fms,0.5091298245614035,0.019977475353004825
P01_L010,1,row_linked_max_fms,0.5111258145363409,0.024011442229091833
P01_L010,1,row_linked_max_fms,0.5131218045112782,0.02802068717152787
P01_L010,1,row_linked_max_fms,0.5151177944862155,0.032001235282684164
P01_L010,1,row_linked_max_fms,0.5171137844611529,0.03594914102550338
P01_L010,1,row_linked_max_fms,0.5191097744360902,0.03986049213413288
P01_L010,1,row_linked_max_fms,0.5211057644110275,0.043731413490670036
P01_L010,1,row_linked_max_fms,0.5231017543859648,0.04755807096417848
P01_L010,1,row_linked_max_fms,0.5250977443609022,0.051336675208171964
P01_L010,1,row_linked_max_fms,0.5270937343358395,0.05506348541280516
P01_L010,1,row_linked_max_fms,0.5290897243107769,0.05873481300805596
P01_L010,1,row_linked_max_fms,0.5310857142857143,0.06234702531423298
P01_L010,1,row_linked_max_fms,0.5330817042606516,0.0658965491361982
P01_L010,1,row_linked_max_fms,0.5350776942355889,0.06937987429774402
P01_L010,1,row_linked_max_fms,0.5370736842105264,0.07279355711263497
P01_L010,1,row_linked_max_fms,0.5390696741854637,0.07613422378887574
P01_L010,1,row_linked_max_fms,0.541065664160401,0.07939857376284629
P01_L010,1,row_linked_max_fms,0.5430616541353384,0.08258338296000457
P01_L010,1,row_linked_max_fms,0.5450576441102757,0.08568550697893872
P01_L010,1,row_linked_max_fms,0.547053634085213,0.08870188419562326
P01_L010,1,row_linked_max_fms,0.5490496240601503,0.0916295387848152
P01_L010,1,row_linked_max_fms,0.5510456140350877,0.09446558365560848
P01_L010,1,row_linked_max_fms,0.553041604010025,0.0972072232982514
P01_L010,1,row_linked_max_fms,0.5550375939849623,0.09985175653942008
P01_L010,1,row_linked_max_fms,0.5570335839598997,0.10239657920323242
P01_L010,1,row_linked_max_fms,0.559029573934837,0.10483918667538174
P01_L010,1,row_linked_max_fms,0.5610255639097744,0.1071771763678657
P01_L010,1,row_linked_max_fms,0.5630215538847118,0.1094082500818846
P01_L010,1,row_linked_max_fms,0.5650175438596491,0.11153021626658688
P01_L010,1,row_linked_max_fms,0.5670135338345864,0.11354099217144105
P01_L010,1,row_linked_max_fms,0.5690095238095239,0.11543860589012067
P01_L010,1,row_linked_max_fms,0.5710055137844612,0.11722119829389714
P01_L010,1,row_linked_max_fms,0.5730015037593985,0.11888702485264603
P01_L010,1,row_linked_max_fms,0.5749974937343358,0.12043445734168183
P01_L010,1,row_linked_max_fms,0.5769934837092732,0.12186198543275298
P01_L010,1,row_linked_max_fms,0.5789894736842105,0.12316821816764277
P01_L010,1,row_linked_max_fms,0.5809854636591478,0.12435188531293828
P01_L010,1,row_linked_max_fms,0.5829814536340852,0.12541183859464985
P01_L010,1,row_linked_max_fms,0.5849774436090225,0.12634705281147973
P01_L010,1,row_linked_max_fms,0.5869734335839598,0.1271566268256626
P01_L010,1,row_linked_max_fms,0.5889694235588971,0.1278397844304209
P01_L010,1,row_linked_max_fms,0.5909654135338345,0.12839587509320055
P01_L010,1,row_linked_max_fms,0.5929614035087718,0.1288243745739765
P01_L010,1,row_linked_max_fms,0.5949573934837094,0.12912488541804137
P01_L010,1,row_linked_max_fms,0.5969533834586467,0.12929713732281628
P01_L010,1,row_linked_max_fms,0.598949373433584,0.12934098737834623
P01_L010,1,row_linked_max_fms,0.6009453634085213,0.12925642018126965
P01_L010,1,row_linked_max_fms,0.6029413533834587,0.12904354782217653
P01_L010,1,row_linked_max_fms,0.604937343358396,0.12870260974639525
P01_L010,1,row_linked_max_fms,0.6069333333333333,0.12823397248837431
P01_L010,1,row_linked_max_fms,0.6089293233082707,0.12763812927995022
P01_L010,1,row_linked_max_fms,0.610925313283208,0.12691569953291784
P01_L010,1,row_linked_max_fms,0.6129213032581453,0.12606742819644517
P01_L010,1,row_linked_max_fms,0.6149172932330826,0.1250941849899967
P01_L010,1,row_linked_max_fms,0.61691328320802,0.1239969635125557
P01_L010,1,row_linked_max_fms,0.6189092731829573,0.12277688022905534
P01_L010,1,row_linked_max_fms,0.6209052631578946,0.12143517333505305
P01_L010,1,row_linked_max_fms,0.622901253132832,0.11997320150080117
P01_L010,1,row_linked_max_fms,0.6248972431077693,0.11839244249598727
P01_L010,1,row_linked_max_fms,0.6268932330827068,0.11669449169653617
P01_L010,1,row_linked_max_fms,0.6288892230576442,0.1148810604749817
P01_L010,1,row_linked_max_fms,0.6308852130325815,0.11295397447602995
P01_L010,1,row_linked_max_fms,0.6328812030075188,0.11091517177905491
P01_L010,1,row_linked_max_fms,0.6348771929824562,0.10876670094937212
P01_L010,1,row_linked_max_fms,0.6368731829573935,0.10651071898025065
P01_L010,1,row_linked_max_fms,0.6388691729323308,0.10414948912773074
P01_L010,1,row_linked_max_fms,0.6408651629072681,0.10168537864041967
P01_L010,1,row_linked_max_fms,0.6428611528822055,0.09912085638654272
P01_L010,1,row_linked_max_fms,0.6448571428571428,0.09645849038062797
P01_L010,1,row_linked_max_fms,0.6468531328320801,0.09370094521230182
P01_L010,1,row_linked_max_fms,0.6488491228070175,0.09085097937976976
P01_L010,1,row_linked_max_fms,0.6508451127819548,0.08791144253065034
P01_L010,1,row_linked_max_fms,0.6528411027568921,0.08488527261292206
P01_L010,1,row_linked_max_fms,0.6548370927318294,0.08177549293883102
P01_L010,1,row_linked_max_fms,0.656833082706767,0.0785852091646935
P01_L010,1,row_linked_max_fms,0.6588290726817043,0.07531760618961186
P01_L010,1,row_linked_max_fms,0.6608250626566416,0.0719759449761955
P01_L010,1,row_linked_max_fms,0.662821052631579,0.06856355929646711
P01_L010,1,row_linked_max_fms,0.6648170426065163,0.0650838524061963
P01_L010,1,row_linked_max_fms,0.6668130325814536,0.06154029365097957
P01_L010,1,row_linked_max_fms,0.668809022556391,0.05793641500745106
P01_L010,1,row_linked_max_fms,0.6708050125313283,0.054275807563071835
P01_L010,1,row_linked_max_fms,0.6728010025062656,0.05056211793800612
P01_L010,1,row_linked_max_fms,0.674796992481203,0.04679904465265022
P01_L010,1,row_linked_max_fms,0.6767929824561403,0.04299033444442965
P01_L010,1,row_linked_max_fms,0.6787889724310776,0.039139778537536106
P01_L010,1,row_linked_max_fms,0.6807849624060149,0.03525120886931484
P01_L010,1,row_linked_max_fms,0.6827809523809523,0.03132849427705966
P01_L010,1,row_linked_max_fms,0.6847769423558896,0.027375536649009654
P01_L010,1,row_linked_max_fms,0.6867729323308269,0.023396267043376655
P01_L010,1,row_linked_max_fms,0.6887689223057645,0.019394641779263096
P01_L010,1,row_linked_max_fms,0.6907649122807018,0.015374638503359774
P01_L010,1,row_linked_max_fms,0.6927609022556391,0.011340252236327342
P01_L010,1,row_linked_max_fms,0.6947568922305765,0.007295491402799722
P01_L010,1,row_linked_max_fms,0.6967528822055138,0.003244373848947727
P01_L010,1,row_linked_max_fms,0.6987488721804511,-0.0008090771484377884
P01_L010,1,row_linked_max_fms,0.7007448621553884,-0.004860836877380025
P01_L010,1,row_linked_max_fms,0.7027408521303258,-0.008906883186699788
P01_L010,1,row_linked_max_fms,0.7047368421052631,-0.01294320047858122
P01_L010,1,row_linked_max_fms,0.7067328320802004,-0.016965783693756915
P01_L010,1,row_linked_max_fms,0.7087288220551378,-0.020970642285357305
P01_L010,1,row_linked_max_fms,0.7107248120300751,-0.024953804177481862
P01_L010,1,row_linked_max_fms,0.7127208020050124,-0.028911319704565414
P01_L010,1,row_linked_max_fms,0.7147167919799498,-0.032839265527632666
P01_L010,1,row_linked_max_fms,0.7167127819548871,-0.036733748523558284
P01_L010,1,row_linked_max_fms,0.7187087719298246,-0.040590909643477696
P01_L010,1,row_linked_max_fms,0.720704761904762,-0.044406927736520954
P01_L010,1,row_linked_max_fms,0.7227007518796993,-0.04817802333509088
P01_L010,1,row_linked_max_fms,0.7246967418546366,-0.05190046239792297
P01_L010,1,row_linked_max_fms,0.726692731829574,-0.05557056000723005
P01_L010,1,row_linked_max_fms,0.7286887218045113,-0.059184684016267135
P01_L010,1,row_linked_max_fms,0.7306847117794486,-0.06273925864370712
