condition_id,variant,candidate_mode,peak_locator,interval_low_cpd,spline_peak_cpd,interval_high_cpd,cluster_count,cluster_fraction_of_accepted,percentile_low,percentile_high,quantile_low_cpd,median_cpd,quantile_high_cpd,kde_mass,retained_for_display,representative_input_index_row_linked,representative_input_index_source_code,representative_selection_agrees,representative_saved_fms,included_in_thesis_main_isf,dominant_retained_mode
P03_L010,current_driver_percentiles,2,source_histogram_spline,5.296641357486519,6.291983357551099,7.447291036197488,10997,0.4796109730036199,2.5,97.5,5.61477,6.2925,6.840590000000001,0.4517670406376383,True,17376,2886,False,0.9924,False,True
P03_L049,thesis_percentiles,1,source_histogram_spline,1.4227,1.8484278084536154,2.0617079401982634,889,0.1363078810180926,0.5,99.5,1.466044,1.8175,2.053056,0.1139934179796181,True,2004,5729,False,0.9678,False,False
P03_L049,thesis_percentiles,2,source_histogram_spline,2.0617079401982634,3.0925619102973947,5.332003293616198,5487,0.8413063477460901,0.5,99.5,2.303686,3.1959,4.995140999999999,0.8188624864713824,True,13270,4521,False,0.9883,False,True
P03_L049,current_driver_percentiles,1,source_histogram_spline,1.4227,1.8484278084536154,2.0617079401982634,889,0.1363078810180926,2.5,97.5,1.5330199999999998,1.8175,2.0306399999999996,0.1043359611136355,True,2004,5729,False,0.9678,False,False
P03_L049,current_driver_percentiles,2,source_histogram_spline,2.0617079401982634,3.0925619102973947,5.332003293616198,5487,0.8413063477460901,2.5,97.5,2.402045,3.1959,4.599529999999999,0.7849244116237089,True,13270,4521,False,0.9883,False,True
P03_L100,thesis_percentiles,1,source_histogram_spline,1.7642,1.257584455423165,2.7553816719945754,2,0.08695652173913043,0.5,99.5,1.764345,1.7787,1.7930549999999998,0.0009296132226983506,False,24930,,False,0.8064,False,False
P03_L100,thesis_percentiles,2,source_histogram_spline,7.1448,9.763942232555136,7.1448,1,0.043478260869565216,0.5,99.5,7.1448,7.1448,7.1448,0.0,False,774,,False,0.8295,False,False
P03_L100,current_driver_percentiles,1,source_histogram_spline,1.7642,1.257584455423165,2.7553816719945754,2,0.08695652173913043,2.5,97.5,1.764925,1.7787,1.7924749999999998,0.0009296132226983506,False,24930,,False,0.8064,False,False
P03_L100,current_driver_percentiles,2,source_histogram_spline,7.1448,9.763942232555136,7.1448,1,0.043478260869565216,2.5,97.5,7.1448,7.1448,7.1448,0.0,False,774,,False,0.8295,False,False
P03_L200,thesis_percentiles,1,source_histogram_spline,3.4469826536213635,4.65520337757112,5.6679766314701805,859,0.5134488942020323,0.5,99.5,4.383948,4.6537,5.605977,0.42498565061984017,True,46290,1534,False,0.9204,False,False
