condition_id,experiment,staircase_id,source_id,source_staircase_id,probe_position_deg,trials_recorded,trials_used,distinct_signed_positions,detected_reversals,final_five_geometric_threshold
P01_L010,base,P01_L010_BASE_T004_A04,P01_L010_BASE_T004,4.0,0.3209,42,42,1,11,0.01785999401600929
P01_L010,base,P01_L010_BASE_T005_A01,P01_L010_BASE_T005,1.0,-0.3724,44,44,1,10,0.045109512231349645
P01_L010,base,P01_L010_BASE_T005_A02,P01_L010_BASE_T005,2.0,0.0516,68,68,1,10,0.02060527814453922
P01_L010,base,P01_L010_BASE_T005_A03,P01_L010_BASE_T005,3.0,-0.0516,45,45,1,10,0.04817240009447378
P01_L010,base,P01_L010_BASE_T005_A04,P01_L010_BASE_T005,4.0,0.1604,60,60,1,11,0.014960928689778752
P01_L010,base,P01_L010_BASE_T005_A05,P01_L010_BASE_T005,6.0,-0.1604,46,46,1,10,0.04195637736188175
P01_L010,base,P01_L010_BASE_T005_A06,P01_L010_BASE_T005,5.0,-0.2693,45,45,1,10,0.033252016814495224
P01_L010,base,P01_L010_BASE_T006_A01,P01_L010_BASE_T006,1.0,-0.3724,57,57,1,10,0.030257849198571524
P01_L010,base,P01_L010_BASE_T006_A02,P01_L010_BASE_T006,2.0,0.0516,48,48,1,10,0.012642083346986008
P01_L010,base,P01_L010_BASE_T006_A03,P01_L010_BASE_T006,3.0,-0.0516,41,41,1,10,0.045109512231349645
P01_L010,base,P01_L010_BASE_T006_A04,P01_L010_BASE_T006,4.0,0.1604,60,60,1,11,0.01691954062631799
P01_L010,base,P01_L010_BASE_T006_A05,P01_L010_BASE_T006,6.0,-0.1604,46,46,1,11,0.027533297988140408
P01_L010,base,P01_L010_BASE_T006_A06,P01_L010_BASE_T006,5.0,-0.2693,35,35,1,10,0.04744911674087757
P01_L010,base,P01_L010_BASE_T007_A01,P01_L010_BASE_T007,1.0,0.1604,49,49,1,10,0.013592162342685414
P01_L010,base,P01_L010_BASE_T007_A02,P01_L010_BASE_T007,6.0,-0.1604,46,46,1,11,0.024677900903352232
P01_L010,base,P01_L010_BASE_T007_A03,P01_L010_BASE_T007,2.0,0.0516,42,42,1,10,0.018847271224639153
P01_L010,base,P01_L010_BASE_T007_A04,P01_L010_BASE_T007,4.0,-0.0516,45,45,1,10,0.035750994512877866
P01_L010,base,P01_L010_BASE_T007_A05,P01_L010_BASE_T007,3.0,-0.2693,41,41,1,10,0.029803565707967203
P01_L010,base,P01_L010_BASE_T007_A06,P01_L010_BASE_T007,5.0,-0.3724,37,37,1,10,0.04744911674087757
P01_L010,base,P01_L010_BASE_T008_A01,P01_L010_BASE_T008,1.0,-0.1604,60,60,1,10,0.03709947262440682
P01_L010,base,P01_L010_BASE_T008_A02,P01_L010_BASE_T008,4.0,0.1604,44,44,1,10,0.021027991887835565
P01_L010,base,P01_L010_BASE_T008_A03,P01_L010_BASE_T008,2.0,-0.0516,49,49,1,11,0.03025784863758182
P01_L010,base,P01_L010_BASE_T008_A04,P01_L010_BASE_T008,5.0,0.0516,43,43,1,10,0.016665513697522658
P01_L010,base,P01_L010_BASE_T008_A05,P01_L010_BASE_T008,3.0,-0.3724,47,47,1,10,0.028334009508238552
P01_L010,base,P01_L010_BASE_T008_A06,P01_L010_BASE_T008,6.0,-0.2693,48,48,1,10,0.03325205739999529
P01_L010,base,P01_L010_BASE_T009_A01,P01_L010_BASE_T009,1.0,0.0,42,42,1,10,0.017917960745638235
P01_L010,base,P01_L010_BASE_T009_A02,P01_L010_BASE_T009,2.0,-0.3209,41,41,1,10,0.018847271224639153
P01_L010,base,P01_L010_BASE_T009_A03,P01_L010_BASE_T009,3.0,-0.212,40,40,1,10,0.01715017332507051
P01_L010,base,P01_L010_BASE_T009_A04,P01_L010_BASE_T009,4.0,-0.1089,41,41,1,10,0.018847271224639153
P01_L010,base,P01_L010_BASE_T009_A05,P01_L010_BASE_T009,6.0,0.1089,37,37,1,10,0.04744913549436037
P01_L010,base,P01_L010_BASE_T009_A06,P01_L010_BASE_T009,5.0,-0.424,49,49,1,10,0.013592162342685414
P01_L010,base,P01_L010_BASE_T010_A01,P01_L010_BASE_T010,1.0,0.0,49,49,1,10,0.021028030169661753
P01_L010,base,P01_L010_BASE_T010_A02,P01_L010_BASE_T010,2.0,-0.424,71,71,1,11,0.013915139122738562
P01_L010,base,P01_L010_BASE_T010_A03,P01_L010_BASE_T010,3.0,-0.3209,39,39,1,10,0.01715017332507051
P01_L010,base,P01_L010_BASE_T010_A04,P01_L010_BASE_T010,4.0,-0.1089,57,57,1,10,0.012018731370471556
P01_L010,base,P01_L010_BASE_T010_A05,P01_L010_BASE_T010,5.0,0.1089,40,40,1,10,0.04744911674087757
P01_L010,base,P01_L010_BASE_T010_A06,P01_L010_BASE_T010,6.0,-0.212,55,55,1,10,0.019134571633085542
P01_L010,base,P01_L010_BASE_T011_A01,P01_L010_BASE_T011,1.0,-0.212,39,39,1,10,0.023780908218862473
P01_L010,base,P01_L010_BASE_T011_A02,P01_L010_BASE_T011,2.0,0.1089,39,39,1,10,0.04744911674087757
P01_L010,base,P01_L010_BASE_T011_A03,P01_L010_BASE_T011,3.0,-0.1089,39,39,1,10,0.014937176526394149
P01_L010,base,P01_L010_BASE_T011_A04,P01_L010_BASE_T011,4.0,-0.3209,48,48,1,10,0.021028011028749086
P01_L010,base,P01_L010_BASE_T011_A05,P01_L010_BASE_T011,5.0,-0.424,61,61,1,10,0.02215381720840309
P01_L010,base,P01_L010_BASE_T011_A06,P01_L010_BASE_T011,6.0,0.0,61,61,1,10,0.02693693568930292
P01_L010,flanker,P01_L010_FLANKER_T000_A01,P01_L010_FLANKER_T000,1.0,0.0,41,41,1,10,0.021027991887835565
P01_L010,flanker,P01_L010_FLANKER_T000_A02,P01_L010_FLANKER_T000,2.0,-0.424,48,48,1,11,0.022952933048361455
P01_L010,flanker,P01_L010_FLANKER_T000_A03,P01_L010_FLANKER_T000,3.0,0.1089,46,46,1,10,0.03182717477188986
P01_L010,flanker,P01_L010_FLANKER_T000_A04,P01_L010_FLANKER_T000,5.0,-0.1089,34,34,1,10,0.023780908218862473
P01_L010,flanker,P01_L010_FLANKER_T000_A05,P01_L010_FLANKER_T000,4.0,-0.212,37,37,1,10,0.023780908218862473
P01_L010,flanker,P01_L010_FLANKER_T000_A06,P01_L010_FLANKER_T000,6.0,-0.3209,43,43,1,10,0.013297745004192122
P01_L010,flanker,P01_L010_FLANKER_T001_A01,P01_L010_FLANKER_T001,1.0,0.3209,38,38,1,10,0.04744911674087757
P01_L010,flanker,P01_L010_FLANKER_T001_A02,P01_L010_FLANKER_T001,2.0,-0.4011,48,48,1,11,0.0337588920691308
P01_L010,flanker,P01_L010_FLANKER_T001_A03,P01_L010_FLANKER_T001,3.0,0.2693,50,50,1,11,0.01741160272931841
P01_L010,flanker,P01_L010_FLANKER_T001_A04,P01_L010_FLANKER_T001,4.0,0.3724,45,45,1,11,0.01379935121012909
P01_L010,flanker,P01_L010_FLANKER_T002_A01,P01_L010_FLANKER_T002,1.0,0.2693,52,52,1,10,0.01999119000550058
P01_L010,flanker,P01_L010_FLANKER_T002_A02,P01_L010_FLANKER_T002,2.0,0.3724,39,39,1,10,0.026532500914661084
P01_L010,flanker,P01_L010_FLANKER_T002_A03,P01_L010_FLANKER_T002,3.0,-0.4011,58,58,1,11,0.032804824806437365
P01_L010,flanker,P01_L010_FLANKER_T002_A04,P01_L010_FLANKER_T002,4.0,0.3209,38,38,1,10,0.04744911674087757
P01_L010,flanker,P01_L010_FLANKER_T003_A01,P01_L010_FLANKER_T003,1.0,-0.4011,59,59,1,10,0.046659616851584144
P01_L010,flanker,P01_L010_FLANKER_T003_A02,P01_L010_FLANKER_T003,2.0,0.3209,46,46,1,10,0.04303695186188735
P01_L010,flanker,P01_L010_FLANKER_T003_A03,P01_L010_FLANKER_T003,3.0,0.2693,65,65,1,10,0.013754701617284364
P01_L010,flanker,P01_L010_FLANKER_T003_A04,P01_L010_FLANKER_T003,4.0,0.3724,46,46,1,10,0.023034124021387232
P01_L010,flanker,P01_L010_FLANKER_T004_A01,P01_L010_FLANKER_T004,1.0,-0.4011,56,56,1,10,0.05276808998683198
P01_L010,flanker,P01_L010_FLANKER_T004_A02,P01_L010_FLANKER_T004,2.0,0.3724,36,36,1,10,0.021245729354590008
P01_L010,flanker,P01_L010_FLANKER_T004_A03,P01_L010_FLANKER_T004,3.0,0.2693,62,62,1,10,0.010737451675686932
P01_L010,flanker,P01_L010_FLANKER_T004_A04,P01_L010_FLANKER_T004,4.0,0.3209,37,37,1,10,0.04867111405838559
P01_L010,flanker,P01_L010_FLANKER_T005_A01,P01_L010_FLANKER_T005,1.0,-0.0516,50,50,1,10,0.033252016814495224
P01_L010,flanker,P01_L010_FLANKER_T005_A02,P01_L010_FLANKER_T005,5.0,0.0516,40,40,1,10,0.018847271224639153
P01_L010,flanker,P01_L010_FLANKER_T005_A03,P01_L010_FLANKER_T005,2.0,-0.2693,41,41,1,10,0.02980356302794058
P01_L010,flanker,P01_L010_FLANKER_T005_A04,P01_L010_FLANKER_T005,3.0,-0.1604,40,40,1,10,0.04744911674087757
P01_L010,flanker,P01_L010_FLANKER_T005_A05,P01_L010_FLANKER_T005,6.0,0.1604,51,51,1,10,0.026532538421626936
P01_L010,flanker,P01_L010_FLANKER_T005_A06,P01_L010_FLANKER_T005,4.0,-0.3724,55,55,1,10,0.045797161027519684
P01_L010,flanker,P01_L010_FLANKER_T006_A01,P01_L010_FLANKER_T006,1.0,-0.1604,35,35,1,10,0.04744911674087757
P01_L010,flanker,P01_L010_FLANKER_T006_A02,P01_L010_FLANKER_T006,4.0,0.1604,59,59,1,10,0.014417124417538753
P01_L010,flanker,P01_L010_FLANKER_T006_A03,P01_L010_FLANKER_T006,2.0,-0.3724,43,43,1,10,0.03575099129804049
P01_L010,flanker,P01_L010_FLANKER_T006_A04,P01_L010_FLANKER_T006,3.0,-0.2693,60,60,1,10,0.03253180721952658
P01_L010,flanker,P01_L010_FLANKER_T006_A05,P01_L010_FLANKER_T006,5.0,0.0516,47,47,1,11,0.01379935121012909
P01_L010,flanker,P01_L010_FLANKER_T006_A06,P01_L010_FLANKER_T006,6.0,-0.0516,36,36,1,10,0.04744911674087757
P01_L010,flanker,P01_L010_FLANKER_T007_A01,P01_L010_FLANKER_T007,1.0,0.0516,47,47,1,10,0.016665484373375825
P01_L010,flanker,P01_L010_FLANKER_T007_A02,P01_L010_FLANKER_T007,5.0,-0.0516,42,42,1,10,0.03575099129804049
P01_L010,flanker,P01_L010_FLANKER_T007_A03,P01_L010_FLANKER_T007,2.0,0.1604,48,48,1,10,0.016665513697522658
P01_L010,flanker,P01_L010_FLANKER_T007_A04,P01_L010_FLANKER_T007,4.0,-0.1604,56,56,1,10,0.03817842828049972
P01_L010,flanker,P01_L010_FLANKER_T007_A05,P01_L010_FLANKER_T007,3.0,-0.2693,56,56,1,10,0.026936968513419663
P01_L010,flanker,P01_L010_FLANKER_T007_A06,P01_L010_FLANKER_T007,6.0,-0.3724,54,54,1,10,0.03575099129804049
P01_L010,flanker,P01_L010_FLANKER_T008_A01,P01_L010_FLANKER_T008,1.0,-0.1604,53,53,1,11,0.028961314049551802
P01_L010,flanker,P01_L010_FLANKER_T008_A02,P01_L010_FLANKER_T008,5.0,0.1604,62,62,1,10,0.020745244306908644
P01_L010,flanker,P01_L010_FLANKER_T008_A03,P01_L010_FLANKER_T008,2.0,-0.0516,37,37,1,10,0.04744911674087757
P01_L010,flanker,P01_L010_FLANKER_T008_A04,P01_L010_FLANKER_T008,3.0,0.0516,56,56,1,10,0.015164868985651213
P01_L010,flanker,P01_L010_FLANKER_T008_A05,P01_L010_FLANKER_T008,4.0,-0.3724,43,43,1,10,0.059064715786262996
P01_L010,flanker,P01_L010_FLANKER_T008_A06,P01_L010_FLANKER_T008,6.0,-0.2693,48,48,1,10,0.0241433865563906
P01_L010,flanker,P01_L010_FLANKER_T009_A01,P01_L010_FLANKER_T009,1.0,-0.424,66,66,1,11,0.01755774676104157
P01_L010,flanker,P01_L010_FLANKER_T009_A02,P01_L010_FLANKER_T009,2.0,-0.1089,41,41,1,10,0.021639562713610398
P01_L010,flanker,P01_L010_FLANKER_T009_A03,P01_L010_FLANKER_T009,5.0,0.1089,49,49,1,10,0.039887626292640414
P01_L010,flanker,P01_L010_FLANKER_T009_A04,P01_L010_FLANKER_T009,3.0,-0.3209,54,54,1,10,0.017797072851063533
P01_L010,flanker,P01_L010_FLANKER_T009_A05,P01_L010_FLANKER_T009,4.0,0.0,38,38,1,10,0.023780908218862473
P01_L010,flanker,P01_L010_FLANKER_T009_A06,P01_L010_FLANKER_T009,6.0,-0.212,45,45,1,10,0.017150173578604672
P01_L010,flanker,P01_L010_FLANKER_T010_A01,P01_L010_FLANKER_T010,1.0,0.0,49,49,1,10,0.021028030169661753
P01_L010,flanker,P01_L010_FLANKER_T010_A02,P01_L010_FLANKER_T010,2.0,-0.1089,31,31,1,10,0.023780908218862473
P01_L010,flanker,P01_L010_FLANKER_T010_A03,P01_L010_FLANKER_T010,5.0,0.1089,49,49,1,11,0.03025784863758182
P01_L010,flanker,P01_L010_FLANKER_T010_A04,P01_L010_FLANKER_T010,3.0,-0.3209,56,56,1,10,0.02346106529248967
P01_L010,flanker,P01_L010_FLANKER_T010_A05,P01_L010_FLANKER_T010,4.0,-0.212,49,49,1,10,0.024143408546343396
