condition_id,frequency_cpd,density_per_cpd
P01_L010,1.5012,0.005170936330250532
P01_L010,1.5087063063063064,0.005421203398595484
P01_L010,1.5162126126126128,0.0056784253309764
P01_L010,1.523718918918919,0.005942507068789906
P01_L010,1.5312252252252254,0.006213340144592359
P01_L010,1.5387315315315315,0.006490803451868989
P01_L010,1.5462378378378379,0.00677476415346349
P01_L010,1.5537441441441442,0.007065078728845894
P01_L010,1.5612504504504505,0.007361594159375022
P01_L010,1.5687567567567569,0.007664149249685888
P01_L010,1.5762630630630632,0.007972576082306245
P01_L010,1.5837693693693695,0.008286701601602258
P01_L010,1.5912756756756758,0.008606349322182915
P01_L010,1.5987819819819822,0.008931341155964648
P01_L010,1.6062882882882883,0.009261499351234215
P01_L010,1.6137945945945946,0.009596648536259777
P01_L010,1.621300900900901,0.009936617859296434
P01_L010,1.6288072072072073,0.010281243216235065
P01_L010,1.6363135135135136,0.010630369556656468
P01_L010,1.64381981981982,0.010983853258694054
P01_L010,1.6513261261261263,0.011341564562880942
P01_L010,1.6588324324324326,0.011703390055079518
P01_L010,1.6663387387387387,0.012069235188665034
P01_L010,1.673845045045045,0.01243902683636002
P01_L010,1.6813513513513514,0.012812715862521709
P01_L010,1.6888576576576577,0.013190279707231186
P01_L010,1.696363963963964,0.013571724974274828
P01_L010,1.7038702702702704,0.013957090015993368
P01_L010,1.7113765765765767,0.01434644750903924
P01_L010,1.718882882882883,0.014739907016295573
P01_L010,1.7263891891891894,0.015137617531587615
P01_L010,1.7338954954954957,0.015539770005330378
P01_L010,1.7414018018018018,0.015946599850903916
P01_L010,1.7489081081081082,0.016358389433332662
P01_L010,1.7564144144144145,0.016775470543713387
P01_L010,1.7639207207207208,0.017198226864819446
P01_L010,1.7714270270270271,0.017627096435365485
P01_L010,1.7789333333333335,0.01806257412250886
P01_L010,1.7864396396396398,0.018505214114328476
P01_L010,1.793945945945946,0.018955632446163793
P01_L010,1.8014522522522523,0.019414509576862245
P01_L010,1.8089585585585586,0.019882593033082416
P01_L010,1.816464864864865,0.020360700141882654
P01_L010,1.8239711711711712,0.020849720873764514
P01_L010,1.8314774774774776,0.021350620820227977
P01_L010,1.838983783783784,0.021864444331577085
P01_L010,1.8464900900900902,0.022392317842273815
P01_L010,1.8539963963963966,0.022935453412447376
P01_L010,1.861502702702703,0.02349515251527353
P01_L010,1.8690090090090092,0.024072810100735465
P01_L010,1.8765153153153153,0.024669918966802616
P01_L010,1.8840216216216217,0.02528807446922495
P01_L010,1.891527927927928,0.025928979600926706
P01_L010,1.8990342342342343,0.026594450471368224
P01_L010,1.9065405405405407,0.027286422215161622
P01_L010,1.914046846846847,0.028006955357682047
P01_L010,1.9215531531531533,0.028758242663319302
P01_L010,1.9290594594594594,0.029542616489396885
P01_L010,1.9365657657657658,0.03036255666554712
P01_L010,1.944072072072072,0.03122069891448884
P01_L010,1.9515783783783784,0.03211984382564774
P01_L010,1.9590846846846848,0.033062966387878555
P01_L010,1.966590990990991,0.03405322608165392
P01_L010,1.9740972972972974,0.035093977524462486
P01_L010,1.9816036036036038,0.03618878165580034
P01_L010,1.98910990990991,0.037341417440019155
P01_L010,1.9966162162162164,0.038555894056408614
P01_L010,2.0041225225225228,0.03983646353626377
P01_L010,2.011628828828829,0.04118763379630462
P01_L010,2.0191351351351354,0.042614182006711826
P01_L010,2.0266414414414413,0.04412116822024637
P01_L010,2.034147747747748,0.04571394917648269
P01_L010,2.041654054054054,0.047398192182134743
P01_L010,2.0491603603603603,0.04917988895492302
P01_L010,2.0566666666666666,0.05106536930440049
P01_L010,2.064172972972973,0.05306131450883932
P01_L010,2.0716792792792793,0.05517477023272215
P01_L010,2.0791855855855856,0.05741315881470846
P01_L010,2.086691891891892,0.05978429074137066
P01_L010,2.0941981981981983,0.06229637510759888
P01_L010,2.1017045045045046,0.06495802885062693
P01_L010,2.109210810810811,0.06777828453121147
P01_L010,2.1167171171171173,0.07076659642299973
P01_L010,2.1242234234234236,0.07393284465954535
P01_L010,2.13172972972973,0.07728733717823412
P01_L010,2.1392360360360363,0.08084080919165414
P01_L010,2.1467423423423426,0.084604419910056
P01_L010,2.1542486486486485,0.08858974623367308
P01_L010,2.1617549549549553,0.09280877313116763
P01_L010,2.169261261261261,0.09727388042052097
P01_L010,2.176767567567568,0.10199782567163339
P01_L010,2.184273873873874,0.10699372295594653
P01_L010,2.19178018018018,0.11227501717777945
P01_L010,2.1992864864864865,0.11785545373510894
P01_L010,2.206792792792793,0.12374904327426872
P01_L010,2.214299099099099,0.1299700213238117
P01_L010,2.2218054054054055,0.13653280261760536
P01_L010,2.229311711711712,0.1434519299463533
P01_L010,2.236818018018018,0.15074201741003063
P01_L010,2.2443243243243245,0.1584176879813849
P01_L010,2.251830630630631,0.166493505332576
P01_L010,2.259336936936937,0.17498389992304236
P01_L010,2.2668432432432435,0.18390308939681677
P01_L010,2.27434954954955,0.19326499339129902
P01_L010,2.2818558558558557,0.2030831429169877
P01_L010,2.2893621621621625,0.21337058452809146
P01_L010,2.2968684684684684,0.22413977956729803
P01_L010,2.304374774774775,0.23540249883353082
P01_L010,2.311881081081081,0.2471697130886851
P01_L010,2.3193873873873874,0.25945147988777156
P01_L010,2.3268936936936937,0.2722568272855431
P01_L010,2.3344,0.28559363504116925
P01_L010,2.3419063063063064,0.29946851400974217
P01_L010,2.3494126126126127,0.31388668447483997
P01_L010,2.356918918918919,0.3288518542388459
P01_L010,2.3644252252252254,0.3443660973467059
P01_L010,2.3719315315315317,0.36042973437287645
P01_L010,2.379437837837838,0.37704121525026174
P01_L010,2.3869441441441444,0.3941970056620072
P01_L010,2.3944504504504507,0.4118914780523272
P01_L010,2.401956756756757,0.4301168083394037
P01_L010,2.4094630630630633,0.44886287943139547
P01_L010,2.4169693693693697,0.46811719265515617
P01_L010,2.4244756756756756,0.48786478820506923
P01_L010,2.4319819819819823,0.508088175706904
P01_L010,2.4394882882882882,0.5287672759671541
P01_L010,2.4469945945945946,0.5498793749426991
P01_L010,2.454500900900901,0.571399090917691
P01_L010,2.4620072072072072,0.5932983558147075
P01_L010,2.4695135135135136,0.6155464114955037
P01_L010,2.47701981981982,0.6381098218229937
P01_L010,2.484526126126126,0.6609525011608809
P01_L010,2.4920324324324326,0.6840357598815965
P01_L010,2.499538738738739,0.7073183673363936
P01_L010,2.507045045045045,0.7307566326159696
P01_L010,2.5145513513513515,0.7543045032953667
P01_L010,2.522057657657658,0.7779136822149746
P01_L010,2.529563963963964,0.8015337622013682
P01_L010,2.53707027027027,0.8251123784787862
P01_L010,2.544576576576577,0.8485953783655873
P01_L010,2.5520828828828828,0.871927007691623
P01_L010,2.5595891891891895,0.8950501132142038
P01_L010,2.5670954954954954,0.9179063601529532
P01_L010,2.574601801801802,0.9404364638101385
P01_L010,2.582108108108108,0.9625804340941879
P01_L010,2.589614414414415,0.9842778316212585
P01_L010,2.5971207207207208,1.0054680339363196
P01_L010,2.604627027027027,1.026090510270761
P01_L010,2.6121333333333334,1.046085103141247
P01_L010,2.6196396396396397,1.0653923149949327
P01_L010,2.627145945945946,1.0839535980214898
P01_L010,2.6346522522522524,1.1017116451824278
P01_L010,2.6421585585585587,1.118610680455864
P01_L010,2.649664864864865,1.1345967462596005
P01_L010,2.6571711711711714,1.1496179859983053
P01_L010,2.6646774774774773,1.163624919682338
P01_L010,2.672183783783784,1.176570710587153
P01_L010,2.67969009009009,1.1884114209614072
P01_L010,2.6871963963963967,1.1991062548515585
P01_L010,2.6947027027027026,1.2086177861879144
P01_L010,2.7022090090090094,1.2169121703729018
P01_L010,2.7097153153153153,1.2239593377249744
P01_L010,2.717221621621622,1.2297331672609475
P01_L010,2.724727927927928,1.2342116394432638
P01_L010,2.7322342342342343,1.2373769666769534
